fährt ab	fuhr ab	ist abgefahren	abfahren	-
zieht um	zog um	ist umgezogen	umziehen	-
zieht um	zog um	hat umgezogen	umziehen (sich)	-
unterhält 	unterhielt	hat unterhalten	unterhalten (sich)	-
unternimmt	unternahm	hat unternommen	unternehmen	-
unterschreibt	unterschrieb	hat unterschrieben	unterschreiben	-
untersucht	untersuchte	hat untersucht	untersuchen	-
verdient	verdiente	hat verdient	verdienen	-
vereinbart	vereinbarte	hat vereinbart	vereinbaren	-
vergisst	vergaß	hat vergessen	vergessen	-
vergleicht	verglich	hat verglichen	vergleichen	-
verkauft	verkaufte	hat verkauft	verkaufen	-
verliert	verlor	hat verloren	verlieren	-
verpasst	verpasste	hat verpasst	verpassen	-
verschiebt	verschob	hat verschoben	verschieben	-
verspricht	versprach	hat versprochen	versprechen (sich)	-
versteht	verstand	hat verstanden	verstehen (sich)	-
versucht	versuchte	hat versucht	versuchen	-
stellt vor	stellte vor	hat vorgestellt	vorstellen	-
wählt	wählte	hat gewählt	wählen	-
wandert	wanderte	ist gewandert	wandern	-
wartet	wartete	hat gewartet	warten	-
wäscht	wusch	hat gewaschen	waschen (sich)	-
wechselt	wechselte	hat gewechselt	wechseln 	-
weckt 	weckte	hat geweckt	wecken	-
wird	wurde	ist geworden	werden	-
wiederholt	wiederholte	hat wiederholt	wiederholen	-
weiß	wusste	hat gewusst	wissen	-
wohnt 	wohnte	hat gewohnt	wohnen	-
wünscht	wünschte	hat gewünscht	wünschen (sich)	-
zahlt	zahlte	hat gezahlt	zahlen	-
zeigt	zeigte	hat gezeigt	zeigen	-
hört zu	hörte zu	hat zugehört	zuhören	-
macht zu	machte zu	hat zugemacht	zumachen	-
kommt zurecht	kam zurecht	ist zurechtgekommen	zurechtkommen	-
